Dataset_Name,Organ,Compartment,Abundance_Old,Abundance_Old_transformed,Abundance_Young,Abundance_Young_transformed,Canonical_Gene_Symbol,Gene_Symbol,Match_Confidence,Match_Level,Matrisome_Category,Matrisome_Division,Method,N_Profiles_Old,N_Profiles_Young,Protein_ID,Protein_Name,Species,Study_ID,Tissue,Tissue_Compartment,Zscore_Delta,Zscore_Old,Zscore_Young,Data_Quality,Abundance_Young_Original,Abundance_Old_Original,Abundance_Old_log2,Abundance_Young_log2
Tam_2020,Intervertebral_disc,NP,29.94843333333333,,29.4661,,PRSS2,PRSS3P2;PRSS2;PRSS1,95.0,Level 2: UniProt ID,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,1.0,CON__P07477;Q8NHM4;P07478;P07477,Putative trypsin-6;Trypsin-2;Trypsin-1;Alpha-trypsin chain 1;Alpha-trypsin chain 2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.0277687698589909,0.4305233781233226,0.3682364311201124,Original,29.4661,29.94843333333333,4.951794474296593,4.929132925703619
Tam_2020,Intervertebral_disc,NP,20.1819,,20.1819,,FLG,FLG,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,1.0,CON__P20930;P20930,Filaggrin,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.1342145446299631,-2.073053306102054,-1.5254964436301073,Original,20.1819,,4.404760098648009,4.404760098648009
Tam_2020,Intervertebral_disc,NP,28.99045,,25.2425,,HRNR,HRNR,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,1.0,CON__Q86YZ3;Q86YZ3,Hornerin,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.69291767697239,0.1849516224806003,-0.4932670015714526,Original,25.2425,,4.9064312645731,4.713833260186281
Tam_2020,Intervertebral_disc,NP,26.435699999999997,,13.296338188354737,,MASP2,MASP2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,O00187,Mannan-binding lectin serine protease 2;Mannan-binding lectin serine protease 2 A chain;Mannan-binding lectin serine protease 2 B chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,2.765501173483477,-0.4699391474300595,-2.9299701477551054,Original,,26.4357,4.7779824803778626,3.8375737625894906
Tam_2020,Intervertebral_disc,NP,26.187,,25.890697916666667,,LEFTY2,LEFTY2;LEFTY1,95.0,Level 2: UniProt ID,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,O00292;O75610,Left-right determination factor 2;Left-right determination factor 1,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.0688238642705925,-0.5336915045987769,-0.3610516567774724,Original,,26.187,4.764845058169521,4.749035294049343
Tam_2020,Intervertebral_disc,NP,28.2688,,31.01376666666667,,MATN2,MATN2,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O00339,Matrilin-2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.73999914080238,-3.787712054562239e-05,0.6839197690298686,Original,31.01376666666667,28.2688,4.871291692375117,5.000620525960898
Tam_2020,Intervertebral_disc,NP,25.3422,,26.5833,,AGRN,AGRN,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),2.0,3.0,O00468,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.4081119552759652,-0.7502495718932379,-0.2197790286211611,Original,26.5833,25.3422,4.719303933896711,4.785723162646892
Tam_2020,Intervertebral_disc,NP,28.42685,,29.385166666666667,,PLOD2,PLOD2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,3.0,O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.3457047175240948,0.0404770406539456,0.3517281574943339,Original,29.385166666666667,28.42685,4.879061212000778,4.925295300165564
Tam_2020,Intervertebral_disc,NP,26.00296666666667,,26.00296666666667,,CCL21,CCL21,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,3.0,O00585,C-C motif chemokine 21,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.1342145446299631,-0.5808670526390503,-0.3381517814320342,Original,26.00296666666667,,4.755046011799382,4.755046011799382
Tam_2020,Intervertebral_disc,NP,25.0902,,24.47115,,CCN1,CYR61,95.0,Level 2: UniProt ID,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,O00622,Protein CYR61,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.0024031268392226,-0.8148478590123241,-0.6506021357713383,Original,,25.0902,4.705436098372059,4.670792192381018
Tam_2020,Intervertebral_disc,NP,26.0013,,26.0862,,NELL1,NRP1,80.0,Level 3: Synonym,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),2.0,1.0,O14786,Neuropilin-1,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.1529510607558562,-0.5812942899877219,-0.3211743682345185,Original,26.0862,26.0013,4.7549569635858235,4.759486102834932
Tam_2020,Intervertebral_disc,NP,11.00453990403181,,25.8215,,PLXNB2,PLXNB2,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,1.0,O15031,Plexin-B2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-3.4041581462179216,-4.425599903223483,-0.3751662137297024,Original,25.8215,,3.5855082055867427,4.745318017515576
Tam_2020,Intervertebral_disc,NP,25.3606,,25.965233333333337,,SEMA3E,SEMA3E,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O15041,Semaphorin-3E,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.2676506129486009,-0.745532871563907,-0.3458483900582205,Original,25.965233333333337,25.3606,4.720311303138229,4.753028612599601
Tam_2020,Intervertebral_disc,NP,25.610366666666668,,27.099100000000004,,LAMA5,LAMA5,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O15230,Laminin subunit alpha-5,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.4627619663867847,-0.6815070824920402,-0.1145693803158502,Original,27.099100000000004,25.610366666666668,4.7339164844108605,4.812452017279097
Tam_2020,Intervertebral_disc,NP,26.742266666666666,,31.691500000000005,,MATN3,MATN3,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O15232,Matrilin-3,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-1.2264570671365138,-0.3913531095154772,0.8221595628351923,Original,31.6915,26.742266666666666,4.794013761970813,5.030843669389717
Tam_2020,Intervertebral_disc,NP,35.295633333333335,,37.46103333333333,,CHAD,CHAD,100.0,Level 1: Gene Symbol,Proteoglycans,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O15335,Chondroadherin,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.6120950159963728,1.80123750861213,1.998992778976652,Original,37.46103333333333,35.295633333333335,5.181724085331879,5.265325619001702
Tam_2020,Intervertebral_disc,NP,25.8652,,25.57675,,P4HA2,P4HA2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,2.0,O15460,Prolyl 4-hydroxylase subunit alpha-2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.0705567345414615,-0.6161824918802125,-0.4250887833743799,Original,25.57675,25.8652,4.747666673224004,4.732092786952197
Tam_2020,Intervertebral_disc,NP,25.0857,,24.9498,,CCL16,CCL16,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,O15467,C-C motif chemokine 16,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.1042228774743823,-0.8160013998537364,-0.5529701114182234,Original,,25.0857,4.705187242954132,4.6976515143907465
Tam_2020,Intervertebral_disc,NP,25.2393,,26.55489318181818,,ANGPTL7,ANGPTL7,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,O43827,Angiopoietin-related protein 7,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.4245517986494085,-0.7766272058001978,-0.2255732731934416,Original,,25.2393,4.713657327800709,4.784236629375513
Tam_2020,Intervertebral_disc,NP,30.880433333333333,,31.9629,,EDIL3,EDIL3,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O43854,EGF-like repeat and discoidin I-like domain-containing protein 3,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.3731032861581308,0.669434503500262,0.8775180323002192,Original,31.9629,30.880433333333333,4.994599334115441,5.042771267978031
Tam_2020,Intervertebral_disc,NP,24.8588,,19.671284018436772,,PLOD3,PLOD3,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,O60568,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,1.010614393437008,-0.8741654925018347,-1.629648688374849,Original,,24.8588,4.6925834220765905,4.3695561009461565
Tam_2020,Intervertebral_disc,NP,31.416833333333333,,31.522566666666663,,SRPX2,SRPX2,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O60687,Sushi repeat-containing protein SRPX2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.1575487531699435,0.8069365717966033,0.787701601247281,Original,31.522566666666663,31.416833333333333,5.018671261701191,5.023369213651824
Tam_2020,Intervertebral_disc,NP,25.1216,,26.273214285714285,,KERA,KERA,100.0,Level 1: Gene Symbol,Proteoglycans,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,O60938,Keratocan,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.3883634213684105,-0.8067987073633582,-0.2830283674046065,Original,,25.1216,4.707171362421385,4.7694128340400095
Tam_2020,Intervertebral_disc,NP,23.9619,,28.97243333333333,,SLIT3,SLIT3,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),1.0,3.0,O75094,Slit homolog 3 protein,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-1.2399853172957256,-1.1040789993157576,0.2675414013022465,Original,28.97243333333333,23.9619,4.641655845443832,4.905564309717342
