Protein_ID,Protein_Name,Gene_Symbol,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Zscore_Young,Zscore_Old,Zscore_Delta,Method,Study_ID,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Match_Level,Match_Confidence,N_Profiles_Young,N_Profiles_Old
B1AKI9,Isthmin-1,ISM1,Intervertebral_disc_OAF,OAF,Homo sapiens,,24.5275,,-1.0509735645464153,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,ISM1,Secreted Factors,Matrisome-associated,Level 1: Gene Symbol,100,0.0,1.0
CON__P07477;Q8NHM4;P07478;P07477,Putative trypsin-6;Trypsin-2;Trypsin-1;Alpha-trypsin chain 1;Alpha-trypsin chain 2,PRSS3P2;PRSS2;PRSS1,Intervertebral_disc_OAF,OAF,Homo sapiens,28.428320000000003,28.94558,0.006309689832371919,0.3574172960245785,0.3511076061922066,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,PRSS2,ECM Regulators,Matrisome-associated,Level 2: UniProt ID,95,10.0,10.0
CON__Q5D862;Q5D862,Filaggrin-2,FLG2,Intervertebral_disc_OAF,OAF,Homo sapiens,,25.1049,,-0.8536296765596142,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,FLG2,Secreted Factors,Matrisome-associated,Level 1: Gene Symbol,100,0.0,1.0
CON__Q86YZ3;Q86YZ3,Hornerin,HRNR,Intervertebral_disc_OAF,OAF,Homo sapiens,28.99045,,0.16715286181740233,,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,HRNR,Secreted Factors,Matrisome-associated,Level 1: Gene Symbol,100,2.0,0.0
O00187,Mannan-binding lectin serine protease 2;Mannan-binding lectin serine protease 2 A chain;Mannan-binding lectin serine protease 2 B chain,MASP2,Intervertebral_disc_OAF,OAF,Homo sapiens,,25.81055,,-0.6182962022346487,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,MASP2,ECM Regulators,Matrisome-associated,Level 1: Gene Symbol,100,0.0,2.0
O00292;O75610,Left-right determination factor 2;Left-right determination factor 1,LEFTY2;LEFTY1,Intervertebral_disc_OAF,OAF,Homo sapiens,24.985425000000003,26.0901625,-1.0513418448627172,-0.5267549011854757,0.5245869436772415,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,LEFTY2,Secreted Factors,Matrisome-associated,Level 2: UniProt ID,95,4.0,8.0
O00339,Matrilin-2,MATN2,Intervertebral_disc_OAF,OAF,Homo sapiens,32.25801666666667,30.518258333333335,1.0462519852245533,0.809029987424894,-0.23722199779965936,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,MATN2,ECM Glycoproteins,Core matrisome,Level 1: Gene Symbol,100,12.0,12.0
O00468,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,AGRN,Intervertebral_disc_OAF,OAF,Homo sapiens,26.666,26.471063636363635,-0.5186263787604326,-0.40356182192604817,0.11506455683438443,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,AGRN,ECM Glycoproteins,Core matrisome,Level 1: Gene Symbol,100,12.0,11.0
O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",PLOD2,Intervertebral_disc_OAF,OAF,Homo sapiens,28.7091,27.844645454545457,0.08703014937275486,0.02692734697063778,-0.06010280240211707,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,PLOD2,ECM Regulators,Matrisome-associated,Level 1: Gene Symbol,100,11.0,11.0
O00534,von Willebrand factor A domain-containing protein 5A,VWA5A,Intervertebral_disc_OAF,OAF,Homo sapiens,,23.869633333333336,,-1.2813339655127989,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,VWA5A,ECM Glycoproteins,Core matrisome,Level 1: Gene Symbol,100,0.0,3.0
O00585,C-C motif chemokine 21,CCL21,Intervertebral_disc_OAF,OAF,Homo sapiens,25.35428,25.91626666666667,-0.9315276812719155,-0.5835742591644313,0.34795342210748426,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,CCL21,Secreted Factors,Matrisome-associated,Level 1: Gene Symbol,100,10.0,3.0
O00622,Protein CYR61,CYR61,Intervertebral_disc_OAF,OAF,Homo sapiens,23.8521,25.32164,-1.4304111306476726,-0.7806769622295272,0.6497341684181454,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,CCN1,ECM Glycoproteins,Core matrisome,Level 2: UniProt ID,95,1.0,10.0
O14672,Disintegrin and metalloproteinase domain-containing protein 10,ADAM10,Intervertebral_disc_OAF,OAF,Homo sapiens,,23.8397,,-1.2919599286295442,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,ADAM10,ECM Regulators,Matrisome-associated,Level 1: Gene Symbol,100,0.0,1.0
O14786,Neuropilin-1,NRP1,Intervertebral_disc_OAF,OAF,Homo sapiens,24.8918,26.668125,-1.0820244429607855,-0.34049599858698165,0.7415284443738038,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,NELL1,ECM Glycoproteins,Core matrisome,Level 3: Synonym,80,2.0,4.0
O15041,Semaphorin-3E,SEMA3E,Intervertebral_disc_OAF,OAF,Homo sapiens,26.15582857142857,27.179539999999996,-0.6768428591077311,-0.17889959528971522,0.4979432638180159,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,SEMA3E,ECM-affiliated Proteins,Matrisome-associated,Level 1: Gene Symbol,100,7.0,10.0
O15230,Laminin subunit alpha-5,LAMA5,Intervertebral_disc_OAF,OAF,Homo sapiens,28.819081818181814,27.47384166666667,0.11844068463743897,-0.0872307209537437,-0.2056714055911827,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,LAMA5,ECM Glycoproteins,Core matrisome,Level 1: Gene Symbol,100,11.0,12.0
O15232,Matrilin-3,MATN3,Intervertebral_disc_OAF,OAF,Homo sapiens,28.948725,26.372,0.1553180264597472,-0.43543637757696146,-0.5907544040367086,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,MATN3,ECM Glycoproteins,Core matrisome,Level 1: Gene Symbol,100,12.0,12.0
O15335,Chondroadherin,CHAD,Intervertebral_disc_OAF,OAF,Homo sapiens,37.436825,35.06711666666667,2.2764515111369255,1.998511974139264,-0.2779395369976614,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,CHAD,Proteoglycans,Core matrisome,Level 1: Gene Symbol,100,12.0,12.0
O15460,Prolyl 4-hydroxylase subunit alpha-2,P4HA2,Intervertebral_disc_OAF,OAF,Homo sapiens,25.44175,25.669955555555557,-0.9033610555444962,-0.6646862441409261,0.23867481140357005,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,P4HA2,ECM Regulators,Matrisome-associated,Level 1: Gene Symbol,100,6.0,9.0
O43184,Disintegrin and metalloproteinase domain-containing protein 12,ADAM12,Intervertebral_disc_OAF,OAF,Homo sapiens,,24.5897,,-1.0295014581440616,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,ADAM12,ECM Regulators,Matrisome-associated,Level 1: Gene Symbol,100,0.0,1.0
O43827,Angiopoietin-related protein 7,ANGPTL7,Intervertebral_disc_OAF,OAF,Homo sapiens,27.497566666666668,27.128436363636357,-0.2668872659869888,-0.19491482278557673,0.07197244320141208,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,ANGPTL7,Secreted Factors,Matrisome-associated,Level 1: Gene Symbol,100,6.0,11.0
O43854,EGF-like repeat and discoidin I-like domain-containing protein 3,EDIL3,Intervertebral_disc_OAF,OAF,Homo sapiens,30.167708333333337,29.838925000000007,0.4944540562409636,0.6167807058218234,0.12232664958085981,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,EDIL3,ECM Glycoproteins,Core matrisome,Level 1: Gene Symbol,100,12.0,12.0
O60462,Neuropilin-2,NRP2,Intervertebral_disc_OAF,OAF,Homo sapiens,,23.1951,,-1.5239460586937983,,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,NELL2,ECM Glycoproteins,Core matrisome,Level 3: Synonym,80,0.0,1.0
